Palavra             Frequência     Grafia Moderna      
benzoartico         6              benzoartico         
bese                1              bese                
betonica            1              betonica            
bexiga              5              bexiga              
bexigas             8              bexigas             
bezoar              1              bezoar              
bezoartica          1              bezoartica          
bezoarticas         1              bezoarticas         
bezoartico          7              bezoartico          
bezoarticos         2              bezoarticos         
beſta               3              besta               
bicharia            1              bicharia            
bicho               5              bicho               
bichos              13             bichos              
bico                1              bico                
bicuiva             1              bicuiva             
bicuivo             1              bicuivo             
bisnaga             1              bisnaga             
bluteau             1              bluteau             
boa                 9              boa                 
boas                1              boas                
boca                22             boca                
bocadinho           1              bocadinho           
bochechas           3              bochechas           
boens               1              boens               
bofe                4              bofe                
boile               1              boile               
bola                2              bola                
bolas               1              bolas               
bolinhos            2              bolinhos            
bols                1              bols                
bom                 16             bom                 
bons                5              bons                
bordel              1              bordel              
borrage             1              borrage             
borragens           2              borragens           
borragẽs            1              borrages            
bosques             1              bosques             
botada              1              botada              
botarà              1              botara              
bote                1              bote                
boticarios          2              boticarios          
boticas             3              boticas             
boy                 6              boi                 
bozoartico          2              bozoartico          
boſta               1              bosta               
boſtelas            2              bostelas            
branca              10             branca              
branco              12             branco              
brandura            2              brandura            
brasil              1              brasil              
brava               2              brava               
brazar              1              brazar              
brazas              1              brazas              
braçal              1              braçal              
braço               6              braço               
braços              9              braços              
braſil              3              brasil              
braſſica            1              brassica            
braꭍil              2              brasil              
braꭍilica           2              brasilica           
breve               3              breve               
brevemente          4              brevemente          
breves              4              breves              
brevidade           2              brevidade           
briga               1              briga               
bu                  1              bu                  
bucho               4              bucho               
buchos              3              buchos              
burla               1              burla               
butua               7              butua               
buxo                1              buxo                
buſcar              1              buscar              
buſcaſſe            1              buscasse            
bócios              1              bócios              
bõns                1              bõns                
c                   2              c                   
ca                  1              ca                  
cabalina            1              cabalina            
cabe                1              cabe                
cabelos             1              cabelos             
cabeça              20             cabeça              
cabeças             2              cabeças             
cabra               1              cabra               
cabritos            1              cabritos            
cachaço             1              cachaço             
cachoeira           1              cachoeira           
cachorro            1              cachorro            
cada                31             cada                
cadeiras            1              cadeiras            
cadiz               1              cadiz               
caducum             1              caducum             
caetano             2              caetano             
cafange             1              cafange             
cafondama           1              cafondama           
cahe                1              cahe                
cahida              2              cahida              
cahido              1              cahido              
cahir               2              cahir               
cahiraõ             1              cahirão             
cajueiro            1              cajueiro            
calcando            1              calcando            
calcas              1              calcas              
calcinado           1              calcinado           
calda               1              calda               
caldo               8              caldo               
calo                1              calo                
calor               1              calor               
calumba             1              calumba             
camara              4              camara              
camaras             17             camaras             
camarentos          2              camarentos          
camas               1              camas               
cambra              1              cambra              
caminho             1              caminho             
campo               1              campo               
canada              3              canada              
canadas             1              canadas             
canamor             1              canamor             
cananor             2              cananor             
cananot             1              cananot             
canará              1              canará              
candar              4              candar              
canela              1              canela              
caneladas           2              caneladas           
canelas             1              canelas             
cano                3              cano                
canudos             1              canudos             
cap                 12             cap                 
caparrofa           1              caparrofa           
caparrola           1              caparrola           
caparroſa           2              caparrosa           
capaz               1              capaz               
capazes             2              capazes             
capelladas          1              capeladas           
capitanias          1              capitanias          
capitulo            1              capitulo            
car                 1              car                 
cara                1              cara                
caranguejo          6              caranguejo          
carapetas           1              carapetas           
carbunculos         1              carbunculos         
cardiacas           1              cardiacas           
cardo               9              cardo               
carga               1              carga               
carminativa         1              carminativa         
carne               16             carne               
carneiro            1              carneiro            
carnosas            1              carnosas            
carnosidades        1              carnosidades        
carnoſas            1              carnosas            
carnoſidades        1              carnosidades        
caroços             3              caroços             
carregada           1              carregada           
cartas              1              cartas              
casas               1              casas               
casca               2              casca               
castella            1              castela             
castro              1              castro              
casualmente         1              casualmente         
catarro             1              catarro             
catenga             1              catenga             
catubia             1              catubia             
cauda               1              cauda               
causa               1              causa               
causſa              1              causa               
cautela             3              cautela             
cauterizada         2              cauterizada         
cauſa               11             causa               
cauſadas            2              causadas            
cauſaõ              1              causão              
cauꭍa               4              causa               
cauꭍada             1              causada             
cauꭍadas            2              causadas            
cavalleiro          1              cavaleiro           
cavallo             4              cavalo              
caõ                 3              cão                 
caſa                5              casa                
caſca               9              casca               
caſcas              1              cascas              
caſcavel            3              cascavel            
caſco               1              casco               
caſo                8              caso                
caſos               2              casos               
caſquinha           1              casquinha           
caſta               4              casta               
caſtanho            1              castanho            
caſtella            2              castela             
caſtello            1              castelo             
caſto               1              casto               
caſtro              1              castro              
caꭍa                2              casa                
caꭍca               3              casca               
